"word"	"ndf"	"ndf_FRA"	"ndf_ITA"	"ndf_BGR"	"ndf_DEU"	"ndf_CAN"	"ndf_USA"	"ntf"	"ntf_FRA"	"ntf_ITA"	"ntf_BGR"	"ntf_DEU"	"ntf_CAN"	"ntf_USA"	"category"
"check"	0.00977030165204731	0.00507300173224449	0.00877587758775878	0.00985111384753162	0.00952062802739268	0.00988411724608044	0.00994465392163348	0.0468781961039117	0.0110121257114576	0.0225022502250225	0.0587708496585694	0.0298981125772507	0.0531697341513292	0.0569557451875372	"condLog"
"provided"	0.00980639882563862	0.00816629547141797	0.00978847884788479	0.00996305832307176	0.00885251377985636	0.00954328561690525	0.00985645299993385	0.0440265193901984	0.0174461766889384	0.0373537353735374	0.0546289040635845	0.0258894270920327	0.0483980913428766	0.049348415690944	"condLog"
"arrival"	0.009734204478456	0.00977480821578817	0.00967596759675968	0.00996305832307176	0.0093535994655086	0.00971370143149284	0.00959185023483495	0.0404168020310676	0.0596387032912645	0.0525427542754275	0.0522780700772417	0.0357441122431936	0.0386843899113838	0.0327004917201385	"condLog"
"arrived"	0.00950558904571105	0.00804256372185103	0.00922592259225923	0.00985111384753162	0.00868548521797227	0.00971370143149284	0.00956980000441005	0.0329928166624553	0.0158376639445682	0.0266651665166517	0.0498152916153588	0.0253883414063805	0.0361281526925699	0.0343542590020066	"condLog"
"late"	0.00885583992106751	0.00853749072011878	0.009000900090009	0.00895555804321057	0.00835142809420411	0.00920245398773006	0.00879804193953827	0.0239925880470226	0.0214055926750804	0.0177767776777678	0.0323519534310982	0.0208785702355103	0.0277777777777778	0.0237260479372009	"condLog"
"offered"	0.00700285167671371	0.00482553823311062	0.00618811881188119	0.00727639091010859	0.00718222816101553	0.00630538513974097	0.00738682719234416	0.0125377516273809	0.00705270972531552	0.0101260126012601	0.011866114407254	0.0115249707700017	0.0138036809815951	0.0140018963198165	"condLog"
"keys"	0.00623277864009915	0.00791883197228409	0.00866336633663366	0.00671666853240793	0.00851845665608819	0.00477164280845262	0.00491720138475447	0.0105885042534503	0.0164563226924029	0.0167641764176418	0.0122019478338744	0.0165358276265241	0.00783912747102931	0.00745297788361888	"condLog"
"hours"	0.00612448711932522	0.00606285572878	0.00787578757875788	0.0062688906302474	0.00501085685652247	0.00494205862304022	0.00608586359727459	0.00993875512880675	0.0106409304627567	0.0140639063906391	0.00895555804321057	0.00818439953232003	0.00630538513974097	0.00983440276950894	"condLog"
"key"	0.00564319147144112	0.00334075723830735	0.00292529252925293	0.00671666853240793	0.00851845665608819	0.005453306066803	0.00608586359727459	0.00963794534887918	0.00593912397921307	0.00371287128712871	0.00985111384753162	0.0200434274260899	0.00698704839809134	0.0102533571475822	"condLog"
"flight"	0.00539051125630196	0.00296956198960653	0.00427542754275428	0.00716444643456845	0.00434274260898614	0.00528289025221541	0.00579921060175079	0.008326414708395	0.00358822073744123	0.00607560756075608	0.0126497257360349	0.00517788541840655	0.00783912747102931	0.00915084562633679	"condLog"
"prepared"	0.0055348999506672	0.00494926998267755	0.00528802880288029	0.00481361244822568	0.00868548521797227	0.00613496932515337	0.00518180414985337	0.00824218797001528	0.00618658747834694	0.00765076507650765	0.00750027986118885	0.0187071989310172	0.00886162235855487	0.00734272673149434	"condLog"
"reception"	0.00484905365243235	0.00866122246968572	0.00911341134113411	0.00235083398634277	0.00484382829463838	0.00102249488752556	0.00119071244294503	0.00812186405804425	0.0254887404107894	0.037016201620162	0.00257472293742304	0.00785034240855186	0.00102249488752556	0.00127891336464466	"condLog"
"checking"	0.00522205777954253	0.000494926998267755	0.000562556255625563	0.00548527930146647	0.00217137130449307	0.00681663258350375	0.00626226544067386	0.00768869797494856	0.000618658747834694	0.000562556255625563	0.00929139146983096	0.00267245699014531	0.0110770279481936	0.0101651562258826	"condLog"
